DividendAmount,Currency,ExDate,PayDate,RecordDate,DeclaredDate,PaymentFrequency,Type
1.311101,USD,2021-03-25,2021-03-31,2021-03-26,2020-12-15,Quarterly,OrdinaryDividend
1.610222,USD,2020-12-14,2020-12-18,2020-12-15,2019-12-12,Quarterly,OrdinaryDividend
1.505804,USD,2020-09-23,2020-09-29,2020-09-24,2019-12-12,Quarterly,OrdinaryDividend
1.260874,USD,2020-06-15,2020-06-19,2020-06-16,2019-12-12,Quarterly,OrdinaryDividend
1.531356,USD,2020-03-25,2020-03-31,2020-03-26,2019-12-12,Monthly,OrdinaryDividend
2.039089,USD,2019-12-16,2019-12-20,2019-12-17,2018-12-24,Quarterly,OrdinaryDividend
0.436905,USD,2019-12-16,2019-12-20,2019-12-17,NA,Other,ExtraDividend
1.482701,USD,2019-09-24,2019-09-30,2019-09-25,2018-12-24,Quarterly,OrdinaryDividend
1.777745,USD,2019-06-17,2019-06-21,2019-06-18,2019-06-14,Quarterly,OrdinaryDividend
1.129603,USD,2019-03-20,2019-03-26,2019-03-21,2019-03-19,Quarterly,OrdinaryDividend
0.322286,USD,2018-12-28,2019-01-04,2018-12-31,2018-12-27,Other,SpecialDividend
1.442143,USD,2018-12-17,2018-12-21,2018-12-18,2018-12-14,Quarterly,OrdinaryDividend
1.277369,USD,2018-09-26,2018-10-02,2018-09-27,2018-09-25,Quarterly,OrdinaryDividend
1.281212,USD,2018-06-26,2018-07-02,2018-06-27,2018-06-25,Quarterly,OrdinaryDividend
1.228513,USD,2018-03-22,2018-03-28,2018-03-23,2018-03-21,Quarterly,OrdinaryDividend
1.272677,USD,2017-12-19,2017-12-26,2017-12-20,2017-12-18,Quarterly,OrdinaryDividend
1.283922,USD,2017-09-26,2017-09-29,2017-09-27,2017-09-25,Quarterly,OrdinaryDividend
1.116979,USD,2017-06-27,2017-06-30,2017-06-29,2017-06-26,Quarterly,OrdinaryDividend
1.032177,USD,2017-03-24,2017-03-30,2017-03-28,2017-03-23,Quarterly,OrdinaryDividend
1.30409,USD,2016-12-21,2016-12-28,2016-12-23,2016-12-20,Quarterly,OrdinaryDividend
1.103092,USD,2016-09-26,2016-09-30,2016-09-28,2016-09-23,Quarterly,OrdinaryDividend
0.997845,USD,2016-06-21,2016-06-27,2016-06-23,2016-06-20,Quarterly,OrdinaryDividend
1.118233,USD,2016-03-23,2016-03-30,2016-03-28,2016-03-22,Quarterly,OrdinaryDividend
0.190196,USD,2015-12-29,2016-01-05,2015-12-31,2015-12-28,Other,ExtraDividend
1.187263,USD,2015-12-24,2015-12-31,2015-12-29,2015-12-23,Quarterly,OrdinaryDividend
1.081561,USD,2015-09-25,2015-10-01,2015-09-29,2015-09-24,Quarterly,OrdinaryDividend
1.180851,USD,2015-06-24,2015-06-30,2015-06-26,2015-06-23,Quarterly,OrdinaryDividend
1.001718,USD,2015-03-25,2015-03-31,2015-03-27,2015-03-24,Quarterly,OrdinaryDividend
